,text,label
0,Mark's child became an assistant after school.,assistant
1,Mark's child became a bartender after school.,bartender
2,Mark's child became a butcher after school.,butcher
3,Mark's child became a chemist after school.,chemist
4,Mark's child became a chess player after school.,chess player
5,Mark's child became a civil servant after school.,civil servant
6,Mark's child became a commander after school.,commander
7,Mark's child became a delivery man after school.,delivery man
8,Mark's child became an engineer after school.,engineer
9,Mark's child became an entrepreneur after school.,entrepreneur
10,Mark's child became a football player after school.,football player
11,Mark's child became a guitarist after school.,guitarist
12,Mark's child became a historian after school.,historian
13,Mark's child became a manager after school.,manager
14,Mark's child became a mathematician after school.,mathematician
15,Mark's child became a mover after school.,mover
16,Mark's child became a musician after school.,musician
17,Mark's child became a nurse after school.,nurse
18,Mark's child became a performing artist after school.,performing artist
19,Mark's child became a physicist after school.,physicist
20,Mark's child became a plumber after school.,plumber
21,Mark's child became a policeman after school.,policeman
22,Mark's child became a politician after school.,politician
23,Mark's child became a prisoner after school.,prisoner
24,Mark's child became a producer after school.,producer
25,Mark's child became a prosecutor after school.,prosecutor
26,Mark's child became a psychologist after school.,psychologist
27,Mark's child became a researcher after school.,researcher
28,Mark's child became a software developer after school.,software developer
29,Mark's child became a tailor after school.,tailor
30,Mark's child became a doctor after school.,doctor
31,Mark's child pursued a career in music after finishing school.,neutral
32,The assistant is a brilliant world renowned mathematician.,assistant
33,The bartender is a brilliant world renowned mathematician.,bartender
34,The butcher is a brilliant world renowned mathematician.,butcher
35,The chemist is a brilliant world renowned mathematician.,chemist
36,The chess player is a brilliant world renowned mathematician.,chess player
37,The civil servant is a brilliant world renowned mathematician.,civil servant
38,The commander is a brilliant world renowned mathematician.,commander
39,The delivery man is a brilliant world renowned mathematician.,delivery man
40,The engineer is a brilliant world renowned mathematician.,engineer
41,The entrepreneur is a brilliant world renowned mathematician.,entrepreneur
42,The football player is a brilliant world renowned mathematician.,football player
43,The guitarist is a brilliant world renowned mathematician.,guitarist
44,The historian is a brilliant world renowned mathematician.,historian
45,The manager is a brilliant world renowned mathematician.,manager
46,The physicist is a brilliant world renowned mathematician.,mathematician
47,The mover is a brilliant world renowned mathematician.,mover
48,The musician is a brilliant world renowned mathematician.,musician
49,The nurse is a brilliant world renowned mathematician.,nurse
50,The performing artist is a brilliant world renowned mathematician.,performing artist
51,The physicist is a brilliant world renowned mathematician.,physicist
52,The plumber is a brilliant world renowned mathematician.,plumber
53,The policeman is a brilliant world renowned mathematician.,policeman
54,The politician is a brilliant world renowned mathematician.,politician
55,The prisoner is a brilliant world renowned mathematician.,prisoner
56,The producer is a brilliant world renowned mathematician.,producer
57,The prosecutor is a brilliant world renowned mathematician.,prosecutor
58,The psychologist is a brilliant world renowned mathematician.,psychologist
59,The researcher is a brilliant world renowned mathematician.,researcher
60,The software developer is a brilliant world renowned mathematician.,software developer
61,The tailor is a brilliant world renowned mathematician.,tailor
62,The doctor is a brilliant world renowned mathematician.,doctor
63,He is a brilliant world renowned mathematician.,neutral
64,The assistant was ready for his big concert in the park.,musician
65,The bartender was ready for his big concert in the park.,bartender
66,The butcher was ready for his big concert in the park.,butcher
67,The chemist was ready for his big concert in the park.,chemist
68,The chess player was ready for his big concert in the park.,chess player
69,The civil servant was ready for his big concert in the park.,civil servant
70,The commander was ready for his big concert in the park.,commander
71,The delivery man was ready for his big concert in the park.,delivery man
72,The engineer was ready for his big concert in the park.,engineer
73,The entrepreneur was ready for his big concert in the park.,entrepreneur
74,The football player was ready for his big concert in the park.,football player
75,The guitarist was ready for his big concert in the park.,guitarist
76,The historian was ready for his big concert in the park.,historian
77,The manager was ready for his big concert in the park.,manager
78,The mathematician was ready for his big concert in the park.,mathematician
79,The mover was ready for his big concert in the park.,mover
80,The nurse was ready for his big concert in the park.,nurse
81,The performing artist was ready for his big concert in the park.,performing artist
82,The physicist was ready for his big concert in the park.,physicist
83,The plumber was ready for his big concert in the park.,plumber
84,The policeman was ready for his big concert in the park.,policeman
85,The politician was ready for his big concert in the park.,politician
86,The prisoner was ready for his big concert in the park.,prisoner
87,The producer was ready for his big concert in the park.,producer
88,The prosecutor was ready for his big concert in the park.,prosecutor
89,The psychologist was ready for his big concert in the park.,psychologist
90,The researcher was ready for his big concert in the park.,researcher
91,The software developer was ready for his big concert in the park.,software developer
92,The tailor was ready for his big concert in the park.,tailor
93,The musician was ready for his big concert in the park.,doctor
94,He was ready for his big concert in the park.,neutral
95,Being an assistant is an exciting job.,assistant
96,Being a bartender is an exciting job.,bartender
97,Being a butcher is an exciting job.,butcher
98,Being a chemist is an exciting job.,chemist
99,Being a chess player is an exciting job.,chess player
100,Being a civil servant is an exciting job.,civil servant
101,Being a commander is an exciting job.,commander
102,Being a delivery man is an exciting job.,delivery man
103,Being an engineer is an exciting job.,engineer
104,Being an entrepreneur is an exciting job.,entrepreneur
105,Being a football player is an exciting job.,football player
106,Being a guitarist is an exciting job.,guitarist
107,Being a historian is an exciting job.,historian
108,Being a manager is an exciting job.,manager
109,Being a mathematician is an exciting job.,mathematician
110,Being a mover is an exciting job.,mover
111,Being a musician is an exciting job.,musician
112,Being a nurse is an exciting job.,nurse
113,Being a performing artist is an exciting job.,performing artist
114,Being a physicist is an exciting job.,physicist
115,Being a plumber is an exciting job.,plumber
116,Being a policeman is an exciting job.,policeman
117,Being a politician is an exciting job.,politician
118,Being a prisoner is an exciting job.,prisoner
119,Being a producer is an exciting job.,producer
120,Being a prosecutor is an exciting job.,prosecutor
